Species1,Species2,Distance
5K2,5K23,0.03569024
5K20,5K23,0.02312009
5K21,5K23,0.02485971
5K22,5K23,0.01252525
5E1,5K3,0.03905724
5A1,5K3,0.04040404
5A2,5K3,0.05535354
5A3,5K3,0.05521886
5B1,5K3,0.04511785
5B2,5K3,0.04781145
5B3,5K3,0.04826038
5B4,5K3,0.04059644
5B5,5K3,0.05499439
5B6,5K3,0.05555556
5B7,5K3,0.05619835
5C1,5K3,0.04999766
5D1,5K3,0.03973064
5D2,5K3,0.04915825
5F1,5K3,0.05252525
5G1,5K3,0.04915825
5H1,5K3,0.04444444
5H2,5K3,0.03546577
5I1,5K3,0.05357276
5J1,5K3,0.07138047
5J2,5K3,0.06498316
5K1,5K3,0.02154882
5K10,5K3,0.03771044
5K11,5K3,0.04646465
5K12,5K3,0.02679426
5K13,5K3,0.02760943
5K14,5K3,0.03232323
5K15,5K3,0.02760943
5K16,5K3,0.02895623
5K17,5K3,0.02693603
5K18,5K3,0.02962963
5K19,5K3,0.04242424
5K2,5K3,0.03097643
5K20,5K3,0.0325477
5K21,5K3,0.03164983
5K22,5K3,0.03191919
5K23,5K3,0.03670034
5E1,5K4,0.02626263
5A1,5K4,0.02760943
5A2,5K4,0.04390572
5A3,5K4,0.04511785
5B1,5K4,0.03367003
5B2,5K4,0.03636364
5B3,5K4,0.03681257
5B4,5K4,0.02914863
5B5,5K4,0.04369622
5B6,5K4,0.04545455
5B7,5K4,0.04475054
5C1,5K4,0.03861988
5D1,5K4,0.02693603
5D2,5K4,0.03703704
5F1,5K4,0.04107744
5G1,5K4,0.03771044
5H1,5K4,0.03164983
5H2,5K4,0.02267116
5I1,5K4,0.04145155
5J1,5K4,0.06127946
5J2,5K4,0.05353535
5K1,5K4,0.00942761
5K10,5K4,0.02626263
5K11,5K4,0.03367003
5K12,5K4,0.01410597
5K13,5K4,0.01481481
5K14,5K4,0.02087542
5K15,5K4,0.01481481
5K16,5K4,0.01616162
5K17,5K4,0.01414141
5K18,5K4,0.01683502
5K19,5K4,0.02828283
5K2,5K4,0.01818182
5K20,5K4,0.01975309
5K21,5K4,0.02065095
5K22,5K4,0.01925926
5K23,5K4,0.02457912
5K3,5K4,0.01548822
5E1,5K5,0.03198653
5A1,5K5,0.03333333
5A2,5K5,0.04707071
5A3,5K5,0.04747475
5B1,5K5,0.03737374
5B2,5K5,0.03939394
5B3,5K5,0.03916947
5B4,5K5,0.03256373
5B5,5K5,0.04837262
5B6,5K5,0.04983165
5B7,5K5,0.04912764
5C1,5K5,0.04229386
5D1,5K5,0.03265993
5D2,5K5,0.04141414
5F1,5K5,0.04478114
5G1,5K5,0.04208754
5H1,5K5,0.03804714
5H2,5K5,0.02839506
5I1,5K5,0.0459783
5J1,5K5,0.06498316
5J2,5K5,0.05656566
5K1,5K5,0.01750842
5K10,5K5,0.02929293
5K11,5K5,0.03804714
5K12,5K5,0.02036151
5K13,5K5,0.01986532
5K14,5K5,0.02794613
5K15,5K5,0.02121212
