"","Subgenotype","LINE","BF","RATE"
"306","5L","Virgin_Islands%%%Argentina",13.71797199555,0.5418
"307","5M","Paraguay%%%Argentina",14712.7191197449,1.423
"308","5M","Puerto_Rico%%%Argentina",8.09696895118963,0.5226
"309","5M","USA%%%Puerto_Rico",3676.95372001049,1.2028
"310","5N","Brazil%%%Argentina",251.304964318071,0.5431
"311","5N","Paraguay%%%Argentina",843.480905877419,1.0197
"312","5N","Venezuela%%%Barbados",264.169274516991,0.8174
"313","5N","Venezuela%%%Brazil",38.675661333639,0.4532
"314","5N","Mexico%%%Colombia",72.5961753701226,0.91
"315","5N","Nicaragua%%%Costa_Rica",325.904952791451,0.9398
"316","5N","Nicaragua%%%El_Salvador",824.644808389907,1.4453
"317","5N","Nicaragua%%%Mexico",10.656309822575,0.8099
"318","5N","USA%%%Mexico",6.66993529942441,0.9757
"319","5N","Venezuela%%%Nicaragua",6.8646278608038,0.7163
"320","5N","Venezuela%%%USA",7.35327387950388,0.7611
"321","5O","USA%%%Angola",71.0684603937446,0.6407
"322","5O","Nicaragua%%%Belize",654.390851958471,0.7568
"323","5O","Honduras%%%Costa_Rica",178.101614285203,1.0957
"324","5O","Nicaragua%%%Costa_Rica",28270.7367389917,1.9258
"325","5O","Saint_Barthelemy%%%Costa_Rica",14.6747351524834,0.6145
"326","5O","USA%%%Costa_Rica",212.689936280662,1.2179
"327","5O","Nicaragua%%%El_Salvador",50.7138126137005,0.4968
"328","5O","Nicaragua%%%Mexico",28270.7367389917,0.9276
"329","5O","USA%%%Mexico",5651.63439342266,0.6863
"330","5P","Brazil%%%Argentina",18.006060530846,0.8256
"331","5P","Brazil%%%Barbados",17.5874565392405,0.831
"332","5P","Guyana%%%Brazil",28.1006610974728,0.8647
"333","5P","Venezuela%%%Brazil",291.37836882033,0.8602
"334","5P","Ecuador%%%Colombia",132.140519622146,0.7263
"335","5P","Venezuela%%%Colombia",28270.7367389917,1.4939
"336","5P","USA%%%Mexico",25.8576561899928,0.9074
"337","5Q","Venezuela%%%Argentina",221.254663631918,0.6133
"338","5Q","Jamaica%%%China",13.2494609026048,0.9324
"339","5Q","Puerto_Rico%%%Haiti",4709.17179569023,1.2528
"340","5Q","USA%%%Puerto_Rico",28270.7367389917,1.8615
"341","5Q","Venezuela%%%Puerto_Rico",6.86017877713182,0.4582
"342","5R","Brazil%%%Argentina",5621.67559534117,1.4287
"343","5R","Paraguay%%%Argentina",53.4359484741015,0.6555
"344","5R","China%%%Brazil",11.4403913224237,0.6768
