"","Label","Route","FROM","TO","BF","POSTERIOR","Subgenotype","BFlevel","FROM_lat","FROM_long","TO_lat","TO_long","Rate.mean","Rate.median"
"76","Samoa.USA*Hawaii%%%4A","Samoa.USA*Hawaii","Samoa","USA.Hawaii",64.4367693630543,0.967892456393734,"4A","L3",-13.8333333333333,188.25,21.3533,202.1155,"1.3851",332
"77","Australia.Indonesia%%%4B","Australia.Indonesia","Australia","Indonesia",8.60738945376962,0.932340851016554,"4B","L1",-18.188,143.262,-6.175,106.828333333333,"1.0551",337
"78","China.Indonesia%%%4B","China.Indonesia","China","Indonesia",65.5200779190467,0.990556604821687,"4B","L3",23.13,113.939,-6.175,106.828333333333,"1.0652",338
"79","Indonesia.Vietnam%%%4B","Indonesia.Vietnam","Indonesia","Vietnam",27.7708250649814,0.97800244417287,"4B","L2",-6.175,106.828333333333,21.0333333333333,105.85,"1.0716",339
"80","Angola.Philippines%%%4C","Angola.Philippines","Angola","Philippines",22.2133340074986,0.951560937673592,"4C","L2",-8.83333333333333,13.3333333333333,14.5833333333333,120.966666666666,"0.717",341
"81","China.Philippines%%%4C","China.Philippines","China","Philippines",10176.8969813671,1,"4C","L5",23.13,113.939,14.5833333333333,120.966666666666,"1.6536",349
"82","China.Singapore%%%4C","China.Singapore","China","Singapore",15.776256505448,0.93311854238418,"4C","L2",23.13,113.939,1.28333333333333,103.833333333333,"1.2887",348
"83","Australia.East_Timor%%%4D","Australia.East_Timor","Australia","East_Timor",19.9950681639162,0.994333962893012,"4D","L2",-18.188,143.262,-8.55,125.56,"0.9245",351
"84","East_Timor.Indonesia%%%4D","East_Timor.Indonesia","East_Timor","Indonesia",46.5023949681769,0.997555827130319,"4D","L3",-8.55,125.56,-6.175,106.828333333333,"1.2436",352
"85","Australia.Indonesia%%%4E","Australia.Indonesia","Australia","Indonesia",14712.7191197449,1,"4E","L5",-18.188,143.262,-6.175,106.828333333333,"1.5",363
"86","China.Indonesia%%%4E","China.Indonesia","China","Indonesia",97.7865633386819,0.983557382513054,"4E","L3",23.13,113.939,-6.175,106.828333333333,"0.8902",361
"87","Indonesia.Myanmar%%%4E","Indonesia.Myanmar","Indonesia","Myanmar",9.58046217070952,0.854238417953561,"4E","L1",-6.175,106.828333333333,19.75,96.1,"0.7767",353
"88","Indonesia.Singapore%%%4E","Indonesia.Singapore","Indonesia","Singapore",7355.54218658801,0.999777802466393,"4E","L4",-6.175,106.828333333333,1.28333333333333,103.833333333333,"1.503",362
"89","China.Malaysia%%%4F","China.Malaysia","China","Malaysia",7.31235186857816,0.77380291078769,"4F","L1",23.13,113.939,3.13333333333333,101.683333333333,"1.1193",379
"90","Indonesia.Malaysia%%%4F","Indonesia.Malaysia","Indonesia","Malaysia",130.551943034967,0.983890678813465,"4F","L4",-6.175,106.828333333333,3.13333333333333,101.683333333333,"1.5521",381
"91","Indonesia.Reunion%%%4F","Indonesia.Reunion","Indonesia","Reunion",6.72881031560886,0.758915676035996,"4F","L1",-6.175,106.828333333333,-21.1144444444444,55.5325,"0.9325",366
